pub_year,genre,Average_Rating
1999,electronic,6.8
1999,experimental,6.71
1999,folk/country,7.77
1999,global,8.15
1999,jazz,7.47
1999,metal,6.52
1999,pop/r&b,6.4
1999,rap,8.33
1999,rock,6.7
2000,electronic,7.12
2000,experimental,7.05
2000,folk/country,8.04
2000,global,7.35
2000,jazz,7.02
2000,metal,6.36
2000,pop/r&b,6.4
2000,rap,6.83
2000,rock,6.74
2001,electronic,6.92
2001,experimental,7.71
2001,folk/country,7.51
2001,global,7.2
2001,jazz,7.29
2001,metal,6.13
2001,pop/r&b,6.56
2001,rap,7.37
2001,rock,7.23
2002,electronic,6.96
2002,experimental,7.46
2002,folk/country,6.98
2002,global,7.15
2002,jazz,7.21
2002,metal,6.33
2002,pop/r&b,6.33
2002,rap,7.16
2002,rock,6.73
2003,electronic,6.86
2003,experimental,7.48
2003,folk/country,7.21
2003,global,7.51
2003,jazz,7.29
2003,metal,6.4
2003,pop/r&b,6.36
2003,rap,7.06
2003,rock,6.89
2004,electronic,7.09
2004,experimental,7.57
2004,folk/country,7.3
2004,global,7.97
2004,jazz,7.35
2004,metal,6.82
2004,pop/r&b,6.84
2004,rap,7.08
2004,rock,7.18
2005,electronic,7.02
2005,experimental,7.22
2005,folk/country,7.15
2005,global,7.95
2005,jazz,7.38
2005,metal,6.84
2005,pop/r&b,7.09
2005,rap,7.15
2005,rock,6.94
2006,electronic,6.89
2006,experimental,7.34
2006,folk/country,7.28
2006,global,7.16
2006,jazz,7.42
2006,metal,6.95
2006,pop/r&b,6.88
2006,rap,6.74
2006,rock,6.93
2007,electronic,6.72
2007,experimental,7.35
2007,folk/country,6.93
2007,global,7.33
2007,jazz,7.2
2007,metal,7.18
2007,pop/r&b,6.72
2007,rap,6.65
2007,rock,6.78
2008,electronic,6.74
2008,experimental,7.26
2008,folk/country,6.98
2008,global,7.51
2008,jazz,6.88
2008,metal,7.05
2008,pop/r&b,6.85
2008,rap,6.57
2008,rock,6.87
2009,electronic,6.6
2009,experimental,7.01
2009,folk/country,6.99
2009,global,7.46
2009,jazz,7.13
2009,metal,6.85
2009,pop/r&b,6.75
2009,rap,6.56
2009,rock,6.78
2010,electronic,6.85
2010,experimental,7.19
2010,folk/country,7.07
2010,global,6.98
2010,jazz,7.44
2010,metal,7.03
2010,pop/r&b,7.0
2010,rap,6.82
2010,rock,6.88
2011,electronic,6.94
2011,experimental,7.29
2011,folk/country,7.2
2011,global,7.44
2011,jazz,6.83
2011,metal,6.88
2011,pop/r&b,6.92
2011,rap,6.82
2011,rock,7.01
2012,electronic,6.9
2012,experimental,7.43
2012,folk/country,7.61
2012,global,7.5
2012,jazz,7.22
2012,metal,7.15
2012,pop/r&b,6.9
2012,rap,6.82
2012,rock,6.98
2013,electronic,7.01
2013,experimental,7.17
2013,folk/country,7.04
2013,global,7.11
2013,jazz,7.21
2013,metal,7.18
2013,pop/r&b,7.0
2013,rap,6.96
2013,rock,7.02
2014,electronic,6.98
2014,experimental,7.35
2014,folk/country,7.6
2014,global,7.62
2014,jazz,7.41
2014,metal,7.14
2014,pop/r&b,6.82
2014,rap,7.07
2014,rock,7.06
2015,electronic,7.17
2015,experimental,7.51
2015,folk/country,7.33
2015,global,7.39
2015,jazz,7.86
2015,metal,7.46
2015,pop/r&b,7.03
2015,rap,6.96
2015,rock,6.97
2016,electronic,7.09
2016,experimental,7.45
2016,folk/country,7.44
2016,global,7.54
2016,jazz,7.81
2016,metal,7.33
2016,pop/r&b,7.27
2016,rap,6.98
2016,rock,7.28
2017,electronic,8.0
2017,experimental,7.7
2017,metal,7.9
2017,rap,6.38
2017,rock,8.15
